run_accession	sample_title	fastq_ftp	fastq_bytes	fastq_md5
SRR20326877	Escherichia coli, Day 1, FeCl3 Control, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/077/SRR20326877/SRR20326877_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/077/SRR20326877/SRR20326877_2.fastq.gz	163596175;162105337	8cf39a9542f7b39d16a98dee03fe23e7;1dc17f5a0f6fee0e56c1b01f8d3cbaad
SRR20326894	Escherichia coli, Day 1, Pu-239, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/094/SRR20326894/SRR20326894_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/094/SRR20326894/SRR20326894_2.fastq.gz	1145289368;1227382420	08c6acfaa0cdeb227ef442a40fdd80ef;6f00efd0393d9e3c91cf77e4bf9f21ee
SRR20326899	Escherichia coli, Day 1, Control, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/099/SRR20326899/SRR20326899_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/099/SRR20326899/SRR20326899_2.fastq.gz	968881698;962577700	c5fa8ed9af30a3fa8091ba93d11dc00a;64db7b216af599b7ab4434acfc4dc205
SRR20326872	Escherichia coli, Day 15, FeCl3 Control, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/072/SRR20326872/SRR20326872_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/072/SRR20326872/SRR20326872_2.fastq.gz	1697774239;1689654614	9906fc5bf5a7134e85e0904ef08faa05;013dc463d6dfe3a0ad219eeb678ad489
SRR20326873	Escherichia coli, Day 15, FeCl3 Control, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/073/SRR20326873/SRR20326873_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/073/SRR20326873/SRR20326873_2.fastq.gz	896462383;895840307	604e1fd3e660900f76b35cea79406ec9;d36e6efd35f2c80177a9419fef5412e1
SRR20326875	Escherichia coli, Day 1, FeCl3 Control, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/075/SRR20326875/SRR20326875_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/075/SRR20326875/SRR20326875_2.fastq.gz	754260559;754445490	90dbba46523a9d0d9333bd975bc25ce1;9a0d0f206e661c264c6492faf7d324e1
SRR20326886	Escherichia coli, Day 15, H-3, rep 1	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/086/SRR20326886/SRR20326886_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/086/SRR20326886/SRR20326886_2.fastq.gz	643118440;608469253	88003bc2036f68017e28716407fcb49b;8ffcb8af9e1697b73db6c8055fe77538
SRR20326893	Escherichia coli, Day 1, Pu-239, rep 3	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/093/SRR20326893/SRR20326893_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/093/SRR20326893/SRR20326893_2.fastq.gz	2339322415;2517604914	1117b4fd3adce7e3767a29a5ecc8c970;6ec67c3da7037b0ec71f5816cdddbc96
SRR20326900	Escherichia coli, Day 1, Control, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR20326900/SRR20326900_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/000/SRR20326900/SRR20326900_2.fastq.gz	1690502389;1692629754	7d2330f0becc7adeee760daa2dcc8c4d;20e16c36228d7b78c7e80e131783b3d9
SRR20326876	Escherichia coli, Day 1, FeCl3 Control, rep 2	ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/076/SRR20326876/SRR20326876_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR203/076/SRR20326876/SRR20326876_2.fastq.gz	326213037;324039557	010e7fbd8336469490c07b6e9e37b4d1;d76e1f65cd61a1fa1064516205028872
