locus_tag	log2FoldChange	padj	Gene	Product	COG_category	KEGG_Pathway
IODOLM_00014	4.03904550293685	8.84333267443151e-214	dnaK	Chaperone protein DnaK	O	ko03018,ko04212,ko05152,map03018,map04212,map05152
IODOLM_00015	2.83694157917841	3.0446585860433e-82	dnaJ	Chaperone protein DnaJ	O	-
IODOLM_00017	3.4296015028076	1.53825804409796e-15		hypothetical protein		
IODOLM_00112	2.55765658685624	1.58632296288425e-15	yadC	fimbrial tip-adhesin YadC	NU	-
IODOLM_00113	2.36863123975604	2.24449657869385e-05	yadK	Uncharacterized fimbrial-like protein YadK	NU	-
IODOLM_00114	2.61427524187752	2.5155208330622e-07	yadL	Uncharacterized fimbrial-like protein YadL	NU	-
IODOLM_00115	3.00648727594721	1.28456695233175e-07	yadM	Uncharacterized fimbrial-like protein YadM	NU	-
IODOLM_00118	2.12701093248608	0.0211747346276224	yadN	Uncharacterized fimbrial-like protein YadN	NU	-
IODOLM_00133	2.8540607268435	0.00132907583532362	yadW	Protein YadW		
IODOLM_00140	-2.28332654523312	4.79393216877205e-12	cdaR	DNA-binding transcriptional regulator CdaR	K	-
IODOLM_00185	-2.6557947570279	7.40893973683776e-40		peptidoglycan lytic exotransglycosylase	M	-
IODOLM_00191	2.50213832981972	0.00835207730104574	ykfM	Uncharacterized protein YkfM	-	-
IODOLM_00192	2.99306426798117	0.000510179681755723		hypothetical protein	S	-
IODOLM_00206	3.74421654127443	1.57001867817533e-39	yafN	Antitoxin YafN	D	-
IODOLM_00207	2.97934366457219	2.71303053745017e-15	yafO	type II toxin-antitoxin system mRNA interferase toxin YafO	S	-
IODOLM_00208	2.71756338485648	1.38559508028417e-08		hypothetical protein	K	-
IODOLM_00209	2.85532409958274	0.00081338151052466	ykfJ	Putative uncharacterized protein YkfJ	S	ko01501,map01501
IODOLM_00227	2.27370175287697	1.02838391666617e-06		DUF945 domain-containing protein	S	-
IODOLM_00261	3.9319589255867	2.13794397114412e-74	yagN	Uncharacterized protein YagN		
IODOLM_00268	3.20401191405947	3.57151202790644e-56	yagU	Inner membrane protein YagU	S	-
IODOLM_00272	2.66580102176191	2.16410935594668e-05	ecpB	fimbrial chaperone EcpB	M	-
IODOLM_00273	2.85988564972281	7.78820865505361e-15	ecpA	common pilus major fimbrillin subunit EcpA	S	-
IODOLM_00274	2.32024960984891	0.00659630522074338	ecpR	ECP biosynthesis operon DNA-binding transcriptional regulator EcpR	K	-
IODOLM_00275	2.86518112319593	8.73763492329039e-11		Large ribosomal subunit protein bL36	J	ko03010,map03010
IODOLM_00276	4.14016991090873	1.13404001542056e-44		Large ribosomal subunit protein bL31B	J	ko03010,map03010
IODOLM_00277	2.61551744652449	0.00975351134279433	ykgR	Uncharacterized membrane protein YkgR		
IODOLM_00284	2.67121010791276	2.65955680092076e-10	rclR	DNA-binding transcriptional regulator RclR	K	-
IODOLM_00285	2.46152761382833	4.2849089183713e-10		Hydroxyacid oxidoreductase (Fe-S centre)	C	-
IODOLM_00288	3.92161967360488	1.98873475487685e-19	ykgH	Uncharacterized protein YkgH	-	-
IODOLM_00289	3.88480784068843	2.01234795828893e-139		Oxygen-dependent choline dehydrogenase	E	ko00260,ko01100,map00260,map01100
IODOLM_00290	3.3116750877935	1.03388023804531e-83		Betaine aldehyde dehydrogenase	C	ko00260,ko01100,map00260,map01100
IODOLM_00291	3.21714249601311	8.81669568531618e-67	betI	HTH-type transcriptional regulator BetI	K	-
IODOLM_00292	3.08833116457458	2.15687301619692e-95	betT	choline BCCT transporter BetT	M	-
IODOLM_00293	2.01586909325582	5.56723665664217e-26	pdeL	DNA-binding transcriptional activator/c-di-GMP phosphodiesterase PdeL	K	-
IODOLM_00300	-2.14957934790241	3.11578888708204e-45		Nucleoprotein/polynucleotide-associated enzyme	S	-
IODOLM_00305	3.26901028363996	0.00010129587532405		hypothetical protein	JM	-
IODOLM_00330	-2.19222780047081	7.98770657486888e-16	dgcC	putative diguanylate cyclase DgcC	T	ko02026,map02026
IODOLM_00337	2.47840656203647	0.00373213107362587		hypothetical protein		
IODOLM_00354	-2.31481238566838	2.7858301827153e-40	yajD	HNH nuclease YajD	V	-
IODOLM_00397	3.47796844410468	2.42069976333253e-61	ybaY	Uncharacterized lipoprotein YbaY	S	-
IODOLM_00399	-3.43852772499291	7.85467283488993e-163	ybaA	Uncharacterized protein YbaA	S	-
IODOLM_00403	2.44378476498778	1.15727213912833e-28		Hemolysin expression-modulating protein Hha	K	-
IODOLM_00416	2.87904841992182	1.41472457773294e-60	htpG	Chaperone protein HtpG	O	ko04141,ko04151,ko04217,ko04612,ko04621,ko04626,ko04657,ko04659,ko04914,ko04915,ko05200,ko05215,ko05418,map04141,map04151,map04217,map04612,map04621,map04626,map04657,map04659,map04914,map04915,map05200,map05215,map05418
IODOLM_00426	-2.1512694677248	8.60941926963592e-18	ybaQ	Uncharacterized HTH-type transcriptional regulator YbaQ	K	-
IODOLM_00439	-2.35437323456273	3.59771176952362e-91		ABC3 transporter permease C-terminal domain-containing protein	Q	-
IODOLM_00441	2.03224706907693	6.81173949793399e-08	ybbC	Uncharacterized protein YbbC	S	-
IODOLM_00451	2.00691721347322	0.0017863580095767	glxR	2-hydoxy-3-oxopropionate reductase GlxR	I	ko00630,ko01100,map00630,map01100
IODOLM_00452	2.13223354952846	0.003497394216507		Allantoin permease	FH	-
IODOLM_00471	2.89598825364751	2.29669557409411e-08	sfmA	Uncharacterized fimbrial-like protein SfmA	NU	ko05133,map05133
IODOLM_00472	2.99830191448401	0.00968720013073113	sfmC	putative fimbrial chaperone SfmC	NU	-
IODOLM_00495	2.05265996177791	0.0127783052001902	essD	phage lysis protein EssD	S	-
IODOLM_00498	2.85581963713743	1.04192639241732e-13	bor	serum resistance lipoprotein Bor	S	-
IODOLM_00513	3.85657731732258	0.00958572236754047	cusC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel CusC	M	ko01501,ko02020,ko02024,map01501,map02020,map02024
IODOLM_00514	4.76724955617763	0.000350882258780353	cusF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone CusF	S	ko02020,map02020
IODOLM_00515	2.25755484204385	2.37930273809705e-05	cusB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit CusB	M	ko02020,map02020
IODOLM_00531	2.07496023765915	2.33803844708135e-24	fepC	ferrienterobactin ABC transporter ATPase	P	ko02010,map02010
IODOLM_00532	2.47597611342847	9.10192848619758e-20	fepG	iron-enterobactin ABC transporter permease	P	ko02010,map02010
IODOLM_00536	2.32209294747797	6.5723032053007e-21	entC	isochorismate synthase 1	HQ	ko00130,ko01053,ko01100,ko01110,ko01130,map00130,map01053,map01100,map01110,map01130
IODOLM_00547	2.19073319795683	0.000215818482219087	ybdO	Uncharacterized HTH-type transcriptional regulator YbdO	K	-
IODOLM_00551	2.2861385822936	1.86290085017835e-16		Universal stress protein	T	-
IODOLM_00560	2.98867083623	0.000293476563795298		Citrate lyase subunit beta	G	ko02020,map02020
IODOLM_00561	3.08454803450793	0.028585283173347		citrate lyase acyl carrier protein 1	C	ko02020,map02020
IODOLM_00562	4.39051139564638	0.000213434074726341		[Citrate [pro-3S]-lyase] ligase	H	ko02020,map02020
IODOLM_00591	2.67696766015423	0.00110203287695129		hypothetical protein	S	-
IODOLM_00605	2.54233107336426	4.70963923949e-15	bor	serum resistance lipoprotein Bor	S	-
IODOLM_00620	4.19203563925205	0.0109614709801246	cusC	Cu(+)/Ag(+) efflux RND transporter outer membrane channel CusC	M	ko01501,ko02020,ko02024,map01501,map02020,map02024
IODOLM_00621	3.38323586476231	7.877976978736e-06	cusF	Cu(+)/Ag(+) efflux RND transporter periplasmic metallochaperone CusF	S	ko02020,map02020
IODOLM_00622	2.09773042725621	0.000618935873223158	cusB	Cu(+)/Ag(+) efflux RND transporter periplasmic adaptor subunit CusB	M	ko02020,map02020
IODOLM_00637	2.05795541996349	0.0184629797536705	fepE	LPS O-antigen length regulator	M	-
IODOLM_00639	2.29143750837244	2.27753280805051e-22	fepG	iron-enterobactin ABC transporter permease	P	ko02010,map02010
IODOLM_00643	2.15698321030143	5.8885623949774e-32	entC	isochorismate synthase 1	HQ	ko00130,ko01053,ko01100,ko01110,ko01130,map00130,map01053,map01100,map01110,map01130
IODOLM_00658	2.23724524898368	5.56440238925732e-27		Universal stress protein	T	-
IODOLM_00667	4.59289320572406	4.14018576765799e-06		Citrate lyase subunit beta	G	ko02020,map02020
IODOLM_00668	3.89580440365557	0.0116120802718557		citrate lyase acyl carrier protein 1	C	ko02020,map02020
IODOLM_00669	3.66734264597511	0.00113537905102737		[Citrate [pro-3S]-lyase] ligase	H	ko02020,map02020
IODOLM_00698	3.11135997418491	0.000816097659151911		hypothetical protein	S	-
IODOLM_00714	-4.40322409125339	8.0631959891691e-291		Asparagine synthetase B [glutamine-hydrolyzing]	E	ko00250,ko01100,ko01110,map00250,map01100,map01110
IODOLM_00731	3.21531348301748	0.00164716106075195		hypothetical protein	S	-
IODOLM_00748	2.41574955231265	1.263241758426e-43	ybgA	Uncharacterized protein YbgA	S	-
IODOLM_00760	2.20565999619484	0.00970744990232796	ybgD	Uncharacterized fimbrial-like protein YbgD	NU	-
IODOLM_00762	2.37012151239625	4.22291421819764e-20		hypothetical protein		
IODOLM_00763	4.11424426645456	2.59592915941543e-67		Succinate dehydrogenase cytochrome b556 subunit	C	ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200
IODOLM_00764	2.20584907917175	9.40047170648489e-07		Succinate dehydrogenase hydrophobic membrane anchor subunit	C	ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200
IODOLM_00765	2.1803345254982	2.50015529061273e-31		Succinate dehydrogenase flavoprotein subunit	C	ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,ko05134,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200,map05134
IODOLM_00766	2.64329702548767	6.33545448257421e-48	sdhB	succinate dehydrogenase iron-sulfur subunit SdhB	C	ko00020,ko00190,ko00650,ko00720,ko01100,ko01110,ko01120,ko01130,ko01200,map00020,map00190,map00650,map00720,map01100,map01110,map01120,map01130,map01200
IODOLM_00811	2.37156086113192	1.25225000277894e-47		Phospholipid-binding protein, PBP family	S	-
IODOLM_00812	3.58745353085968	3.78741693953447e-127		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase	H	ko00780,ko01100,map00780,map01100
IODOLM_00813	3.12602274697751	3.10702324602906e-51		Biotin synthase	H	ko00780,ko01100,map00780,map01100
IODOLM_00814	3.5681127892972	2.00439094447265e-89		8-amino-7-oxononanoate synthase	H	ko00780,ko01100,map00780,map01100
IODOLM_00815	3.84845623958421	2.04823731949486e-99		Malonyl-[acyl-carrier protein] O-methyltransferase	H	ko00780,ko01100,map00780,map01100
IODOLM_00816	4.58172491138157	5.37511420006368e-106	bioD	ATP-dependent dethiobiotin synthetase BioD 1	H	ko00780,ko01100,map00780,map01100
IODOLM_00825	2.49203774356826	6.54728366219144e-10	ybhM	Uncharacterized protein YbhM	S	-
IODOLM_00834	2.52225368369938	1.31947782287365e-40	cecR	DNA-binding transcriptional regulator CecR	K	-
IODOLM_00842	3.27716598325079	7.37124559915433e-43		Iron-uptake factor	S	-
IODOLM_00843	3.7118107939685	1.44862749244599e-63		Catecholate siderophore receptor Fiu	P	-
IODOLM_00844	-2.79926739617975	9.66408319685321e-26		YdgH/BhsA/McbA-like domain-containing protein	S	-
IODOLM_00852	2.30869604218296	8.4544424415655e-33	yliM	Protein YliM		
IODOLM_00864	-2.12454479807081	1.53517337147507e-12		Fructose-6-phosphate aldolase 1	G	-
IODOLM_00875	-2.47721767230731	1.52275007382573e-55	bssR	Biofilm regulator BssR	S	-
IODOLM_00878	2.04140674576467	2.97851857283777e-47		serine-type D-Ala-D-Ala carboxypeptidase	M	ko00550,ko01100,map00550,map01100
IODOLM_00885	-2.08427567767749	3.40531833156685e-18	rcdA	DNA-binding transcriptional regulator RcdA	K	-
IODOLM_00893	3.69848441760326	2.84517031729613e-39		Putrescine-binding periplasmic protein	P	ko02010,map02010
IODOLM_00894	3.01978911442238	9.21718949934425e-19	potG	Putrescine transport ATP-binding protein PotG	P	ko02010,ko02024,map02010,map02024
IODOLM_00895	2.19672316674058	2.65025455680993e-15	potH	Putrescine transport system permease protein PotH	P	ko02010,map02010
IODOLM_00904	3.85513824202033	2.04823731949486e-99		hypothetical protein	M	-
IODOLM_00910	2.71533014035866	1.97134240889388e-67		Pyruvate dehydrogenase [ubiquinone]	C	ko00620,ko01100,map00620,map01100
IODOLM_00913	3.25990575548221	1.9944761535231e-41	lysO	L-lysine exporter LysO	S	-
IODOLM_00924	-2.30762050794532	1.49186094186248e-51		ABC-type xenobiotic transporter	P	ko02010,map02010
IODOLM_00925	-2.63440879947685	9.43776886886576e-80		ABC transmembrane type-1 domain-containing protein	P	ko02010,map02010
IODOLM_00960	-2.09435621547364	2.0927550799493e-46	mukF	Chromosome partition protein MukF	D	-
IODOLM_00975	2.22471860645047	1.75443626524545e-05		FMN reductase (NADPH)	S	ko00740,ko00920,ko01100,map00740,map00920,map01100
IODOLM_00984	2.20242802528674	1.17534153106342e-41	zapC	cell division protein ZapC	D	-
IODOLM_00991	-3.11054307235779	6.38818679529735e-46		hypothetical protein	J	-
IODOLM_01023	2.77168323175266	1.00802397124299e-10	gfcC	Uncharacterized protein GfcC	S	-
