name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Listeria monocytogenes	1639	S	2628742	36373661	39002403	0.86670
Listeria innocua	1642	S	155415	194097	349512	0.00777
Listeria swaminathanii	2713501	S	58217	12763	70980	0.00158
Listeria welshimeri	1643	S	32284	6720	39004	0.00087
Listeria ivanovii	1638	S	30415	32058	62473	0.00139
Listeria seeligeri	1640	S	18813	5932	24745	0.00055
Listeria sp. PSOL-1	1844999	S	150	1	151	0.00000
Listeria sp. LM90SB2	2678528	S	38	26271	26309	0.00058
Listeria grayi	1641	S	181	19	200	0.00000
Listeria aquatica	1494960	S	109	0	109	0.00000
Paenilisteria weihenstephanensis	1006155	S	113	3	116	0.00000
Bacillus spizizenii	96241	S	303264	52630	355894	0.00791
Bacillus subtilis	1423	S	500	7320	7820	0.00017
Bacillus inaquosorum	483913	S	421	39	460	0.00001
Bacillus velezensis	492670	S	186	1082	1268	0.00003
Bacillus amyloliquefaciens	1390	S	34	337	371	0.00001
Bacillus siamensis	659243	S	22	17	39	0.00000
Bacillus tequilensis	227866	S	193	10	203	0.00000
Bacillus vallismortis	72361	S	168	37	205	0.00000
Bacillus halotolerans	260554	S	87	61	148	0.00000
Bacillus mojavensis	72360	S	60	50	110	0.00000
Bacillus atrophaeus	1452	S	80	3	83	0.00000
Bacillus stercoris	2054641	S	16	17	33	0.00000
Bacillus cereus	1396	S	524	6174	6698	0.00015
Bacillus anthracis	1392	S	49	7076	7125	0.00016
Bacillus thuringiensis	1428	S	24	410	434	0.00001
Bacillus mycoides	1405	S	19	6	25	0.00000
Bacillus toyonensis	155322	S	14	7	21	0.00000
Bacillus pseudomycoides	64104	S	10	0	10	0.00000
Bacillus paranthracis	2026186	S	10	32	42	0.00000
Bacillus rugosus	2715209	S	222	17	239	0.00001
Bacillus cabrialesii	2487276	S	108	6	114	0.00000
Bacillus altitudinis	293387	S	21	27	48	0.00000
Bacillus safensis	561879	S	14	17	31	0.00000
Bacillus gobiensis	1441095	S	14	0	14	0.00000
Psychrobacillus sp. L4	3236892	S	62	1	63	0.00000
Halobacillus shinanisalinarum	2932258	S	49	0	49	0.00000
Priestia megaterium	1404	S	11	0	11	0.00000
Staphylococcus aureus	1280	S	99	176	275	0.00001
Staphylococcus epidermidis	1282	S	27	2	29	0.00000
Staphylococcus pseudintermedius	283734	S	10	0	10	0.00000
Anoxybacillus gonensis	198467	S	16	0	16	0.00000
Thermoactinomyces vulgaris	2026	S	10	0	10	0.00000
Candidatus Enterococcus dunnyi	1834192	S	2568	39	2607	0.00006
Enterococcus faecium	1352	S	532	1679	2211	0.00005
Enterococcus faecalis	1351	S	371	1005	1376	0.00003
Enterococcus sp. DIV2315	2774765	S	158	973	1131	0.00003
Enterococcus sp. AZ035	2774935	S	57	394	451	0.00001
