tax	ZYMO_EVEN	ZYMO_LOG	total
d__Bacteria	8045428	44725063	52770491
d__Bacteria;k__Bacillati	4714953	39973205	44688158
d__Bacteria;k__Bacillati;p__Bacillota	4714483	39971497	44685980
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli	4714483	39971474	44685957
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales	2832607	39957918	42790525
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae	951743	39576009	40527752
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria	951743	39575892	40527635
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Listeriaceae;g__Listeria;s__Listeria_monocytogenes	935900	39002403	39938303
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota	3330475	4751858	8082333
d__Bacteria;k__Pseudomonadati	3330475	4751858	8082333
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria	3330475	4751617	8082092
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae	1207368	4674901	5882269
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas	1207368	4674901	5882269
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales	1207368	4674901	5882269
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas_aeruginosa	1206420	4667886	5874306
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales	2122972	76312	2199284
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae	2122972	76312	2199284
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales	1881876	13555	1895431
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae	1000390	381567	1381957
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus	1000376	381443	1381819
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella	1299214	45779	1344993
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella_enterica	1296707	45768	1342475
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Bacillaceae;g__Bacillus;s__Bacillus_spizizenii	963346	355894	1319240
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus	1008035	7806	1015841
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae	1008035	7806	1015841
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae	880474	315	880789
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus	880474	315	880789
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae	872475	3466	875941
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus	872119	3435	875554
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus_fermentum	872106	3435	875541
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Caryophanales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus_aureus	860605	275	860880
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia	800365	29775	830140
d__Bacteria;k__Pseudomonadati;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia_coli	799379	29758	829137
d__Bacteria;k__Bacillati;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus_faecalis	704485	1376	705861
