tax_id	abundance	species	genus	family	order	class	phylum	domain	estimated counts
919700925	0.027589446252092593	Listeria_A monocytogenes_B_319801	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	1818.8894230617084
1008998464	0.01813124056020603	Listeria_A marthii	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	1195.338296412703
594691402	0.10485160113880687	Listeria_A monocytogenes_B_319916	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	6912.55150827812
1453904119	0.09636631767478998	Enterococcus_H_360604 faecalis	Enterococcus_H_360604	Enterococcaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	6353.142225345879
1700534098	0.146347628185573	Bacillus_P_294101 spizizenii	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	9648.260083390272
53954447	0.0033191144907386764	Bacillus_P_294101 subtilis	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	218.81926103092871
561101225	0.0004909710317421196	Shigella flexneri	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	32.36824720966271
1446833230	0.01001731891904311	Shigella sonnei	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	660.4117843757551
1083756244	0.01346754538633939	Escherichia ruysiae	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	887.8748646851969
2087647928	0.00641683374718855	Escherichia albertii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	423.04259845089956
1980547424	0.007345743005419159	Shigella boydii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	484.2827991182689
1155214706	0.0010037412156260162	Escherichia fergusonii	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	66.17364712257637
25587710	0.13571362034695666	Limosilactobacillus fermentum	Limosilactobacillus	Lactobacillaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	8947.191848613813
697922065	0.08437403394449669	Bifidobacterium vaginale	Bifidobacterium_388775	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	5562.526935858833
671167758	0.006575777096920564	Bacillus_P_294101 halotolerans	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	433.52125666868204
1723148556	0.06539236291236433	Bifidobacterium adolescentis	Bifidobacterium_388775	Bifidobacteriaceae	Actinomycetales	Actinomycetes	Actinomycetota	Bacteria	4311.122309723443
1005789060	0.0014159375913064967	Staphylococcus simiae	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	93.34851758206341
172468710	0.14445234669699603	Staphylococcus argenteus	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	9523.309860692856
1135931242	0.024933670694851987	Pseudomonas_B_650326 paraeruginosa	Pseudomonas_B_650326	Pseudomonadaceae	Pseudomonadales_A_650611	Gammaproteobacteria	Pseudomonadota	Bacteria	1643.8021078995068
1524293496	0.026863912517988458	Borrelia bissettiae	Borreliella	Borreliaceae	Borreliales	Spirochaetia	Spirochaetota	Bacteria	1771.057160573425
249674484	0.0008028843470766316	Borreliella garinii	Borreliella	Borreliaceae	Borreliales	Spirochaetia	Spirochaetota	Bacteria	52.93175634972109
4821424	0.04821424127004573	Salmonella bongori	Salmonella	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	3178.620284210305
2044984071	0.0014662788851640813	Bacillus_P_294101 velezensis	Bacillus_P_294101	Bacillaceae_H_294103	Bacillales_B_306089	Bacilli_A	Bacillota_I	Bacteria	96.66736806221239
503474378	0.001530618604006186	Enterococcus_B faecium	Enterococcus_B	Enterococcaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	100.90909270631583
1102215101	0.00022467014502069207	Listeria_A seeligeri	Listeria_A	Listeriaceae	Lactobacillales	Bacilli_A	Bacillota_I	Bacteria	14.811828650779166
1969112428	0.001340193412911767	Shigella dysenteriae	Escherichia	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	88.35493113303406
382293794	0.018930028668072262	Chlamydia trachomatis	Chlamydia	Chlamydiaceae	Chlamydiales_778489	Chlamydiia	Chlamydiota	Bacteria	1248.0
1534274278	0.0005832411536692661	Staphylococcus haemolyticus	Staphylococcus	Staphylococcaceae	Staphylococcales	Bacilli_A	Bacillota_I	Bacteria	38.45133953795371
1965385813	0.00033670412265497993	Pseudomonas_F_650324 furukawaii	Pseudomonas_F_650324	Pseudomonadaceae	Pseudomonadales_A_650611	Gammaproteobacteria	Pseudomonadota	Bacteria	22.197892694274863
421731111	0.0002123560908277337	Veillonella_A parvula	Veillonella_A	Veillonellaceae	Veillonellales	Negativicutes	Bacillota_C	Bacteria	14.0
477813944	0.00030353394801921655	Klebsiella oxytoca	Klebsiella_724518	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	20.01108259106289
464221415	0.00019718779862575272	Prevotella corporis	Prevotella	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	13.0
229406851	0.0003183482753841169	Klebsiella granulomatis	Klebsiella_724518	Enterobacteriaceae_A_725029	Enterobacterales_737866	Gammaproteobacteria	Pseudomonadota	Bacteria	20.987746751248675
973386507	0.00024302548604638826	Faecalibacterium duncaniae	Faecalibacterium	Ruminococcaceae	Oscillospirales	Clostridia_258483	Bacillota_A_368345	Bacteria	16.02194121858024
1267684071	0.0002275243830297147	Bacteroides_H_857956 fragilis	Bacteroides_H_857956	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota	Bacteria	15.0
unmapped	0.0								1244.0
mapped_unclassified	0.0								105.0
