locus_tag	Gene	Product	COG_category	KEGG_Pathway
IODOLM_00002		thr operon leader peptide		
IODOLM_00003		Bifunctional aspartokinase/homoserine dehydrogenase 1	E	ko00260,ko00261,ko00270,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00260,map00261,map00270,map00300,map01100,map01110,map01120,map01130,map01230
IODOLM_00004		Homoserine kinase	F	ko00260,ko01100,ko01110,ko01120,ko01230,map00260,map01100,map01110,map01120,map01230
IODOLM_00005		Threonine synthase	E	ko00260,ko00750,ko01100,ko01110,ko01120,ko01230,map00260,map00750,map01100,map01110,map01120,map01230
IODOLM_00006		hypothetical protein	S	-
IODOLM_00007		UPF0246 protein GN242_17910	S	-
IODOLM_00008	yaaJ	Uncharacterized transporter YaaJ	E	-
IODOLM_00009		transaldolase B	G	ko00030,ko01100,ko01110,ko01120,ko01130,ko01200,ko01230,map00030,map01100,map01110,map01120,map01130,map01200,map01230
IODOLM_00010	mogA	Molybdenum cofactor biosynthesis protein MogA	F	ko00790,ko01100,ko04122,map00790,map01100,map04122
IODOLM_00011	yaaH	Inner membrane protein YaaH	S	-
IODOLM_00014	dnaK	Chaperone protein DnaK	O	ko03018,ko04212,ko05152,map03018,map04212,map05152
IODOLM_00015	dnaJ	Chaperone protein DnaJ	O	-
IODOLM_00016	tnp	IS4 family IS421 transposase	L	-
IODOLM_00017		hypothetical protein		
IODOLM_00018	mokC	type I toxin-antitoxin system toxin MokC	S	-
IODOLM_00019	nhaA	Na(+)/H(+) antiporter NhaA	P	-
IODOLM_00020	nhaR	Transcriptional activator protein NhaR	K	-
IODOLM_00022	tnp	IS1 family IS1A transposase ORF A	L	-
IODOLM_00024		Riboflavin biosynthesis protein	H	ko00740,ko01100,ko01110,map00740,map01100,map01110
IODOLM_00025		Isoleucine--tRNA ligase	J	ko00970,map00970
IODOLM_00026		Lipoprotein signal peptidase	MU	ko03060,map03060
IODOLM_00027		Peptidyl-prolyl cis-trans isomerase	O	-
IODOLM_00028		4-hydroxy-3-methylbut-2-enyl diphosphate reductase	IM	ko00900,ko01100,ko01110,ko01130,map00900,map01100,map01110,map01130
IODOLM_00030		4-hydroxy-tetrahydrodipicolinate reductase	E	ko00261,ko00300,ko01100,ko01110,ko01120,ko01130,ko01230,map00261,map00300,map01100,map01110,map01120,map01130,map01230
IODOLM_00031		Carbamoyl phosphate synthase small chain	F	ko00240,ko00250,ko01100,map00240,map00250,map01100
IODOLM_00032		Carbamoyl phosphate synthase large chain	F	ko00240,ko00250,ko01100,map00240,map00250,map01100
IODOLM_00033		hypothetical protein	K	-
IODOLM_00034	caiE	Carnitine operon protein CaiE	S	-
