# Program:featureCounts v2.1.1; Command:"featureCounts" "-T" "8" "-p" "-s" "2" "-t" "CDS" "-g" "locus_tag" "--countReadPairs" "-a" "results/00_REFERENCE/bakta/reference_filtered.gff3" "-o" "results/04_COUNTS/counts.tsv" "results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam" "results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam" "results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam" "results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam" "results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam" "results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam" 
Geneid	Chr	Start	End	Strand	Length	results/02_MAPPING/CTRL_D1_R1/CTRL_D1_R1.sorted.bam	results/02_MAPPING/CTRL_D1_R2/CTRL_D1_R2.sorted.bam	results/02_MAPPING/CTRL_D1_R3/CTRL_D1_R3.sorted.bam	results/02_MAPPING/PU239_D1_R1/PU239_D1_R1.sorted.bam	results/02_MAPPING/PU239_D1_R2/PU239_D1_R2.sorted.bam	results/02_MAPPING/PU239_D1_R3/PU239_D1_R3.sorted.bam
IODOLM_00001	contig_1	3	98	+	96	3	41	14	30	31	61
IODOLM_00002	contig_1	190	255	+	66	62	2726	945	975	858	2377
IODOLM_00003	contig_1	337	2799	+	2463	224	8690	5624	3165	2875	6621
IODOLM_00004	contig_1	2801	3733	+	933	110	3541	2180	1262	1084	2573
IODOLM_00005	contig_1	3734	5020	+	1287	132	4411	2856	1650	1454	3253
IODOLM_00006	contig_1	5234	5530	+	297	2	99	57	119	96	282
IODOLM_00007	contig_1	5683	6459	-	777	16	569	300	330	282	642
IODOLM_00008	contig_1	6529	7959	-	1431	4	126	62	185	178	501
IODOLM_00009	contig_1	8238	9191	+	954	408	8948	5781	10786	10341	21689
IODOLM_00010	contig_1	9306	9893	+	588	34	990	542	601	566	1358
IODOLM_00011	contig_1	9928	10494	-	567	26	677	350	999	941	2104
IODOLM_00012	contig_1	10643	11356	-	714	1	53	22	42	52	93
IODOLM_00013	contig_1	11382	11786	-	405	0	1	2	5	5	24
IODOLM_00014	contig_1	12163	14079	+	1917	244	6522	3993	77960	87929	197443
IODOLM_00015	contig_1	14168	15298	+	1131	59	1500	868	7552	8525	20167
IODOLM_00016	contig_1	15445	16557	+	1113	21	661	382	1456	1443	3350
IODOLM_00017	contig_1	16580	16720	+	141	0	18	7	121	115	310
IODOLM_00018	contig_1	16751	16903	-	153	22	400	227	128	88	236
IODOLM_00019	contig_1	17489	18655	+	1167	144	3475	1926	3382	3237	7265
IODOLM_00020	contig_1	18721	19620	+	900	23	645	335	1070	940	2473
IODOLM_00021	contig_1	19811	20188	-	378	12	181	114	178	193	420
IODOLM_00022	contig_1	20233	20508	-	276	7	152	105	296	269	624
IODOLM_00023	contig_1	20815	21078	-	264	390	10752	5552	6804	6364	16057
