mag	sample	checkm2_completeness	checkm2_contamination	checkm2_genome_size	rrna_5S	rrna_16S	rrna_23S	trna_types	mimag_quality	gunc_pass	gunc_css	gunc_contamination_portion	gtdbtk_classification	gtdbtk_domain	gtdbtk_phylum	gtdbtk_class	gtdbtk_order	gtdbtk_family	gtdbtk_genus	gtdbtk_species	gtdbtk_fastani_ani	gtdbtk_red_value
ZYMO_EVEN_binette_bin2	ZYMO_EVEN	99.98	0.0	1883422	5	5	5	22	alta_qualidade	True	0.0	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	Bacteria	Bacillota	Bacilli	Lactobacillales	Lactobacillaceae	Limosilactobacillus	Limosilactobacillus fermentum		N/A
ZYMO_EVEN_binette_bin3	ZYMO_EVEN	100.0	0.04	2678406	2	1	1	19	alta_qualidade	True	0.0	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	Bacteria	Bacillota	Bacilli	Staphylococcales	Staphylococcaceae	Staphylococcus	Staphylococcus aureus		N/A
ZYMO_EVEN_binette_bin5	ZYMO_EVEN	100.0	0.11	4701095	8	2	3	22	alta_qualidade	True	0.0	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Salmonella	Salmonella enterica		N/A
ZYMO_EVEN_binette_bin6	ZYMO_EVEN	99.36	0.34	4755803	6	7	6	23	alta_qualidade	True	0.0	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	Bacteria	Pseudomonadota	Gammaproteobacteria	Enterobacterales	Enterobacteriaceae	Escherichia	Escherichia coli		N/A
ZYMO_LOG_binette_bin1	ZYMO_LOG	100.0	0.01	3983891	1	0	0	17	qualidade_media	True	0.0	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus spizizenii	Bacteria	Bacillota	Bacilli	Bacillales	Bacillaceae	Bacillus	Bacillus spizizenii		N/A
ZYMO_LOG_binette_bin2	ZYMO_LOG	100.0	0.14	6777505	4	4	4	23	alta_qualidade	True	0.0	0.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	Bacteria	Pseudomonadota	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa		N/A
ZYMO_LOG_binette_bin3	ZYMO_LOG	81.67	5.61	2527641	5	3	5	22	qualidade_media	True	0.0	0.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes_B	Bacteria	Bacillota	Bacilli	Lactobacillales	Listeriaceae	Listeria	Listeria monocytogenes_B		N/A
