user_genome	classification	closest_genome_reference	closest_genome_reference_radius	closest_genome_taxonomy	closest_genome_ani	closest_genome_af	closest_placement_reference	closest_placement_radius	closest_placement_taxonomy	closest_placement_ani	closest_placement_af	pplacer_taxonomy	classification_method	note	other_related_references(genome_id,species_name,radius,ANI,AF)	msa_percent	translation_table	red_value	warnings
ZYMO_EVEN_binette_bin2	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	GCF_013394085.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Limosilactobacillus;s__Limosilactobacillus fermentum	99.91	0.988	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	N/A	N/A	N/A	N/A	N/A
ZYMO_EVEN_binette_bin3	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	GCF_001027105.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Staphylococcales;f__Staphylococcaceae;g__Staphylococcus;s__Staphylococcus aureus	99.03	0.957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCA_022493055.1, s__Staphylococcus singaporensis, 95.0, 89.73, 0.63; GCF_002902405.1, s__Staphylococcus schweitzeri, 95.0, 90.82, 0.706; GCF_000236925.1, s__Staphylococcus argenteus, 95.0, 89.25, 0.601	N/A	N/A	N/A	N/A
ZYMO_EVEN_binette_bin5	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	GCF_000006945.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Salmonella;s__Salmonella enterica	98.66	0.939	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_001559075.2, s__Citrobacter_A amalonaticus_F, 95.0, 82.99, 0.155; GCF_015672735.1, s__Citrobacter sp015672735, 95.0, 82.99, 0.159; GCF_047467925.1, s__Citrobacter_A amalonaticus_G, 95.0, 82.9, 0.155; GCA_020099315.1, s__Citrobacter europaeus, 95.0, 83.3, 0.159; GCF_003818115.1, s__Citrobacter youngae, 95.09, 83.11, 0.154; GCF_000155975.1, s__Citrobacter portucalensis_A, 95.0, 83.22, 0.19; GCF_018342065.1, s__Citrobacter sp018342065, 95.0, 82.56, 0.153; GCF_004353845.1, s__Citrobacter arsenatis, 95.0, 83.22, 0.182; GCF_945906775.1, s__Citrobacter sp945906775, 95.0, 83.17, 0.163; GCF_000252995.1, s__Salmonella bongori, 95.0, 90.02, 0.665; GCF_000826205.1, s__Citrobacter pasteurii, 95.0, 83.2, 0.151; GCF_002042885.1, s__Citrobacter portucalensis, 95.0, 83.13, 0.168; GCF_011064845.1, s__Citrobacter freundii, 95.0, 83.3, 0.165; GCF_008692785.1, s__Salmonella diarizonae, 95.07, 95.08, 0.749; GCF_002075345.1, s__Citrobacter braakii, 95.0, 82.65, 0.161; GCF_005281345.1, s__Citrobacter sp005281345, 95.0, 82.95, 0.161; GCF_008692845.1, s__Salmonella arizonae, 95.0, 93.21, 0.73; GCF_000759835.1, s__Citrobacter_A sedlakii, 95.0, 82.94, 0.164; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 83.56, 0.193; GCF_018323885.1, s__Citrobacter_A amalonaticus, 95.0, 82.91, 0.158; GCF_021278985.1, s__Citrobacter_A rodentium, 95.0, 82.85, 0.172; GCF_004684345.1, s__Citrobacter tructae, 95.0, 83.37, 0.154; GCF_024023655.1, s__Citrobacter meridianamericanus, 95.0, 82.68, 0.154; GCA_900478215.1, s__Salmonella houtenae, 95.0, 94.65, 0.763; GCF_000981805.1, s__Citrobacter_A amalonaticus_C, 95.0, 83.23, 0.168; GCA_009363175.1, s__Citrobacter_A telavivensis, 95.0, 83.11, 0.158; GCF_000759755.1, s__Citrobacter werkmanii, 95.0, 83.87, 0.182; GCF_018252635.1, s__Citrobacter_A amalonaticus_E, 95.0, 83.05, 0.155	N/A	N/A	N/A	N/A
ZYMO_EVEN_binette_bin6	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	GCF_003697165.2	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Escherichia;s__Escherichia coli	96.95	0.829	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_002900365.1, s__Escherichia marmotae, 95.0, 90.83, 0.647; GCF_005843885.1, s__Escherichia sp005843885, 95.0, 92.75, 0.713; GCF_000026225.1, s__Escherichia fergusonii, 95.0, 91.83, 0.484; GCF_014836715.1, s__Escherichia whittamii, 95.0, 91.65, 0.711; GCF_000018045.1, s__Citrobacter_B koseri, 95.0, 83.14, 0.157; GCF_019048065.1, s__Citrobacter_A farmeri, 95.0, 82.71, 0.151; GCF_002965065.1, s__Escherichia sp002965065, 95.0, 94.56, 0.656; GCA_011881725.1, s__Escherichia coli_E, 95.0, 92.12, 0.745; GCA_047199095.1, s__G047199095 sp047199095, 95.0, 96.77, 0.902; GCA_048288485.1, s__Enterobacter flexneri_A, 95.0, 96.59, 0.878; GCF_036503815.1, s__Escherichia coli_F, 95.84, 95.71, 0.841; GCA_048288465.1, s__Enterobacter flexneri_B, 95.0, 95.21, 0.803; GCA_009363175.1, s__Citrobacter_A telavivensis, 95.0, 82.96, 0.154; GCA_047199055.1, s__ECMA0423 sp047199055, 95.0, 96.59, 0.839; GCA_042434945.1, s__Escherichia hormaechei_A, 95.0, 96.45, 0.469; GCF_000981805.1, s__Citrobacter_A amalonaticus_C, 95.0, 82.86, 0.158; GCF_902498915.1, s__Escherichia ruysiae, 95.0, 92.78, 0.72; GCA_047199115.1, s__G047199115 sp047199115, 95.0, 95.82, 0.699; GCA_041890495.1, s__Escherichia boydii, 95.0, 96.32, 0.465; GCF_001559075.2, s__Citrobacter_A amalonaticus_F, 95.0, 82.91, 0.157; GCF_000759775.1, s__Escherichia albertii, 95.0, 90.23, 0.598; GCF_004211955.1, s__Escherichia sp004211955, 95.0, 93.03, 0.695	N/A	N/A	N/A	N/A
ZYMO_LOG_binette_bin1	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus spizizenii	GCF_000227465.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Bacillales;f__Bacillaceae;g__Bacillus;s__Bacillus spizizenii	96.55	0.923	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_031316635.1, s__Bacillus mojavensis, 95.47, 88.69, 0.624; GCF_000332645.1, s__Bacillus inaquosorum, 95.0, 93.79, 0.865; GCF_000245035.1, s__Bacillus spizizenii_A, 95.0, 95.79, 0.831; GCF_004116955.1, s__Bacillus vallismortis, 95.0, 91.91, 0.774; GCF_026790065.1, s__Bacillus sp026790065, 95.0, 92.83, 0.833; GCA_020223575.2, s__Bacillus mexicanus, 95.0, 91.04, 0.727; GCA_000738015.1, s__Bacillus stercoris, 95.0, 91.94, 0.811; GCF_031317525.1, s__Bacillus tequilensis, 95.0, 91.78, 0.75; GCF_011745685.2, s__Bacillus rugosus, 95.0, 94.52, 0.887; GCF_004124315.2, s__Bacillus cabrialesii, 95.0, 93.13, 0.846; GCF_040784915.1, s__Bacillus subtilis_G, 95.0, 92.72, 0.821; GCF_001517105.1, s__Bacillus halotolerans, 95.0, 88.51, 0.61; GCF_000009045.1, s__Bacillus subtilis, 95.0, 92.15, 0.824	N/A	N/A	N/A	N/A
ZYMO_LOG_binette_bin2	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	GCF_001457615.1	95.0	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas;s__Pseudomonas aeruginosa	99.23	0.957	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_029335315.1, s__Pseudomonas citronellolis_A, 95.0, 85.05, 0.18; GCF_008807415.1, s__Pseudomonas sp002079985, 95.0, 83.45, 0.152; GCF_029203285.1, s__Pseudomonas sp029203285, 95.0, 83.24, 0.154; GCF_000349845.1, s__Pseudomonas sp000349845, 95.0, 83.58, 0.179; GCF_900103845.1, s__Pseudomonas jinjuensis, 95.0, 84.47, 0.189; GCF_000955805.1, s__Pseudomonas sp000955805, 95.0, 83.62, 0.157; GCF_900112375.1, s__Pseudomonas citronellolis, 95.0, 84.08, 0.183; GCF_900187975.1, s__Pseudomonas delhiensis, 95.08, 84.48, 0.189; GCF_017589465.1, s__Pseudomonas schmalbachii, 95.0, 84.23, 0.172; GCF_900099785.1, s__Pseudomonas panipatensis, 95.0, 83.32, 0.168; GCF_030462585.1, s__Pseudomonas sp030462585, 95.0, 83.47, 0.151; GCF_002091755.1, s__Pseudomonas nitroreducens, 95.0, 83.21, 0.155; GCF_025133575.1, s__Pseudomonas nitroreducens_B, 95.0, 83.25, 0.162; GCF_048068055.1, s__Pseudomonas sp048068055, 95.0, 83.43, 0.165; GCF_000689415.1, s__Pseudomonas knackmussii, 95.0, 83.4, 0.158; GCA_046940325.1, s__Pseudomonas sp046940325, 95.0, 83.55, 0.156; GCF_002601815.1, s__Pseudomonas paraeruginosa, 95.0, 93.91, 0.802; GCF_014204515.1, s__Pseudomonas nitritireducens_A, 95.0, 83.67, 0.155; GCF_017491605.1, s__Pseudomonas sp017491605, 95.0, 83.25, 0.156	N/A	N/A	N/A	N/A
ZYMO_LOG_binette_bin3	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes_B	GCF_000307025.1	95.0	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Listeriaceae;g__Listeria;s__Listeria monocytogenes_B	99.49	0.901	N/A	N/A	N/A	N/A	N/A	N/A	ani_screen	classification based on ANI only	GCF_014224155.1, s__Listeria cossartiae, 95.0, 90.06, 0.637; GCF_014322765.1, s__Listeria immobilis, 95.0, 84.47, 0.262; GCF_000060285.1, s__Listeria welshimeri, 95.0, 87.51, 0.499; GCF_014229095.1, s__Listeria cayugensis, 95.0, 89.99, 0.624; GCA_000183865.1, s__Listeria marthii, 95.0, 88.93, 0.465; GCF_041765605.1, s__Listeria monocytogenes_D, 95.26, 95.02, 0.788; GCF_000763495.1, s__Listeria londoniensis, 95.0, 84.19, 0.304; GCF_028596125.1, s__Listeria innocua, 95.0, 89.99, 0.613; GCF_014229645.1, s__Listeria swaminathanii, 95.0, 89.77, 0.643; GCF_014229245.1, s__Listeria farberi, 95.0, 89.91, 0.603; GCF_013282665.1, s__Listeria monocytogenes_C, 95.0, 93.34, 0.745; GCF_900187025.1, s__Listeria ivanovii, 95.0, 84.69, 0.292; GCF_900187225.1, s__Listeria monocytogenes, 95.0, 94.62, 0.803; GCF_000027145.1, s__Listeria seeligeri, 95.0, 84.92, 0.318	N/A	N/A	N/A	N/A
